,surname,name,org,region,year
343,Курбалийя,Йован,Группа высокого уровня Генерального секретаря ООН по цифровому сотрудничеству,Щвейцария,2021
344,Лукацкий,Алексей,Cisco Systems,Россия,2021
345,Магоня,Дмитрий,Адвокатское бюро «ART DE LEX»,Россия,2021
346,Матвеева,Татьяна,"Управление по развитию информационно-коммуникационных технологий и инфраструктуры связи, Администрация Президента России",Россия,2021
347,Незнамов,Андрей,Сбербанк,Россия,2021
348,Орехович,Александра,Фонд развития интернет инициатив,Россия,2021
349,Паршин,Максим,"Министерство цифрового развития, связи и массовых коммуникаций Российской Федерации",Россия,2021
350,Плуготаренко,Сергей,РАЭК,Россия,2021
351,Старкова,Анна,Медиагруппа «Россия сегодня»,Россия,2021
352,Табак,Владимир,АНО «Диалог»,Россия,2021
353,Тюльканов,Александр,Фонд «Сколково»,Россия,2021
354,Федоров,Максим,Сколковский институт науки и технологий,Россия,2021
355,Фесенко,Станислав,Group-IB,Россия,2021
356,Хинштейн,Александр,"Комитет по информационной политике, информационным технологиям и связи Государственной думы Российской Федерации",Россия,2021
357,Черкесова,Бэлла,"Министерство цифрового развития, связи и массовых коммуникаций Российской Федерации",Россия,2021
358,Шадаев,Максут,"Министр цифрового развития, связи и массовых коммуникаций Российской Федерации",Россия,2021
359,Шнайдер,Томас,Federal Office of Communications OFCOM,Швейцария,2021
360,Эстерхёйсен,Анриетт,IGF,Россия,2021
361,Ярных,Андрей,Лаборатория Касперского,Россия,2021
